"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 12:58:14 EEST 2024","Sun Apr 07 12:58:14 EEST 2024","19","test.db_tests","test_get_cars","","","","test_get_all_cars",""
"passed","Sun Apr 07 22:30:21 EEST 2024","Sun Apr 07 22:30:21 EEST 2024","5","test.db_tests","test_positive","","","","Test update car status",""
"passed","Sun Apr 07 21:52:14 EEST 2024","Sun Apr 07 21:52:15 EEST 2024","670","HW_15.test.test_store","test_store","","","","test_add_order",""
"passed","Sun Apr 07 22:30:21 EEST 2024","Sun Apr 07 22:30:21 EEST 2024","1","test.db_tests","test_negative","","","","negative test get info nonexistent car",""
"failed","Sun Apr 07 21:52:20 EEST 2024","Sun Apr 07 21:52:21 EEST 2024","1326","HW_15.test.test_users","test_users","","","","test_update_user",""
"passed","Sun Apr 07 21:52:25 EEST 2024","Sun Apr 07 21:52:26 EEST 2024","1308","HW_15.test.test_users","test_users","","","","test_logout_user",""
"passed","Sun Apr 07 21:52:18 EEST 2024","Sun Apr 07 21:52:20 EEST 2024","1304","HW_15.test.test_users","test_users","","","","test_delete_user",""
"passed","Sun Apr 07 12:58:14 EEST 2024","Sun Apr 07 12:58:14 EEST 2024","1","test.db_tests","test_get_cars","","","","test_get_info_created_car",""
"passed","Sun Apr 07 12:58:14 EEST 2024","Sun Apr 07 12:58:14 EEST 2024","5","test.db_tests","test_get_cars","","","","test_update_car_status",""
"passed","Sun Apr 07 21:52:12 EEST 2024","Sun Apr 07 21:52:13 EEST 2024","1347","HW_15.test.test_pets","test_pets","","","","test_update_pet_by_id",""
"passed","Sun Apr 07 21:52:18 EEST 2024","Sun Apr 07 21:52:18 EEST 2024","675","HW_15.test.test_users","test_users","","","","test_create_user",""
"passed","Sun Apr 07 22:30:21 EEST 2024","Sun Apr 07 22:30:21 EEST 2024","1","test.db_tests","test_positive","","","","test_get_info_created_car",""
"passed","Sun Apr 07 22:30:21 EEST 2024","Sun Apr 07 22:30:21 EEST 2024","1","test.db_tests","test_positive","","","","Test Get all cars",""
"passed","Sun Apr 07 12:58:14 EEST 2024","Sun Apr 07 12:58:14 EEST 2024","0","test.db_tests","test_get_cars","","","","test_get_with_id_1",""
"passed","Sun Apr 07 22:30:21 EEST 2024","Sun Apr 07 22:30:21 EEST 2024","1","test.db_tests","test_positive","","","","Test Get car with id",""
"passed","Sun Apr 07 21:52:24 EEST 2024","Sun Apr 07 21:52:25 EEST 2024","664","HW_15.test.test_users","test_users","","","","test_login_user",""
"passed","Sun Apr 07 21:52:11 EEST 2024","Sun Apr 07 21:52:12 EEST 2024","1316","HW_15.test.test_pets","test_pets","","","","test_find_pet_by_id",""
"passed","Sun Apr 07 21:52:13 EEST 2024","Sun Apr 07 21:52:14 EEST 2024","886","HW_15.test.test_pets","test_pets","","","","test_find_pets_by_status",""
"passed","Sun Apr 07 21:52:21 EEST 2024","Sun Apr 07 21:52:24 EEST 2024","2999","HW_15.test.test_users","test_users","","","","test_get_user_by_user_name",""
"passed","Sun Apr 07 21:52:10 EEST 2024","Sun Apr 07 21:52:11 EEST 2024","794","HW_15.test.test_pets","test_pets","","","","test_add_pet",""
"passed","Sun Apr 07 21:52:15 EEST 2024","Sun Apr 07 21:52:16 EEST 2024","1338","HW_15.test.test_store","test_store","","","","test_find_order_by_id",""
"passed","Sun Apr 07 21:52:16 EEST 2024","Sun Apr 07 21:52:18 EEST 2024","1315","HW_15.test.test_store","test_store","","","","test_delete_order_by_id",""
"passed","Sun Apr 07 22:30:21 EEST 2024","Sun Apr 07 22:30:21 EEST 2024","0","test.db_tests","test_negative","","","","negative test delete nonexistent car",""
